evidence_condition,emotion,correct,n_valid,accuracy,accuracy_percent
present,neutral,1452,1500,0.968,96.8
present,positive,1451,1500,0.9673333333333334,96.73333333333333
present,negative,1453,1500,0.9686666666666667,96.86666666666667
present,fear,1451,1500,0.9673333333333334,96.73333333333333
present,anger,1451,1500,0.9673333333333334,96.73333333333333
absent,neutral,1417,1500,0.9446666666666667,94.46666666666667
absent,positive,1420,1500,0.9466666666666667,94.66666666666667
absent,negative,1420,1500,0.9466666666666667,94.66666666666667
absent,fear,1417,1500,0.9446666666666667,94.46666666666667
absent,anger,1415,1499,0.9439626417611742,94.39626417611741
